Name,SRR3390478.quant,SRR3390479.quant,SRR3390480.quant,SRR3390481.quant,SRR3390482.quant,SRR3390483.quant,SRR3390484.quant,SRR3390485.quant
FBtr0333627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5732
FBtr0075321,93.0,239.553,264.161,341.38,104.0,257.165,175.139,742.458
FBtr0075322,3774.0,4120.56,3162.01,3112.48,5423.89,3475.34,3793.03,3515.26
FBtr0075323,0.0,184.688,0.0,0.000330738,48.0361,39.9547,0.0,0.0
FBtr0304018,3861.17,5059.67,3793.17,3716.68,5751.65,3890.99,4037.37,3712.04
FBtr0075324,2395.12,2219.01,2044.52,1863.51,2149.67,2228.1,2244.26,1681.8
FBtr0075325,1145.43,909.846,804.949,717.802,563.711,999.954,907.808,588.894
FBtr0333607,525.726,480.375,546.318,653.2,303.814,426.709,647.092,489.098
FBtr0075326,875.121,1317.69,836.861,1198.56,1142.55,623.248,651.101,1093.72
FBtr0075327,63.7962,0.0,19.5722,0.0,0.0,110.107,47.7606,105.738
FBtr0075328,1905.5,2251.11,1739.86,2090.15,1967.12,1673.93,1671.76,2327.09
FBtr0305912,7.49922,15.051,3.73918,3.74326,7.48945,18.7173,3.75443,0.0
FBtr0075329,3776.76,4927.42,3497.18,4840.64,4133.17,2891.44,3103.1,4288.96
FBtr0075330,2461.32,2466.4,1884.78,2007.21,2266.15,2373.47,1934.5,2206.07
FBtr0075331,533.321,875.697,558.089,1104.72,618.817,99.0,321.004,571.325
FBtr0075332,1824.76,2783.63,2195.19,1971.29,2369.82,1863.09,2159.14,2073.63
FBtr0075333,490.319,663.153,414.123,930.118,380.461,66.9427,281.994,576.379
FBtr0344230,88.9348,124.722,63.2513,116.807,90.3567,165.055,156.051,106.751
FBtr0075336,190.127,287.486,138.434,315.937,198.878,68.6001,123.452,218.047
FBtr0332702,24.8729,14.9648,6.56641,17.0671,14.2698,6.50524,5.54825,25.3078
FBtr0075337,516.467,590.401,477.364,569.455,636.276,525.021,511.783,569.12
FBtr0075338,61.0,85.0,46.0815,545.426,63.0,18.0562,27.0001,59.0
FBtr0075339,390.393,439.248,375.707,446.679,440.396,504.293,362.432,440.415
FBtr0305272,62.2029,86.8334,67.9019,47.3146,61.8486,61.7066,63.3671,84.0585
FBtr0273320,158.862,86.7849,315.073,97.9801,79.6806,174.609,150.038,73.8831
FBtr0305913,135.397,98.2702,82.2117,429.032,76.4525,93.8891,60.9624,12.1169
FBtr0075341,1320.05,1824.57,807.41,1181.83,916.007,432.468,129.155,1308.86
FBtr0075344,4385.02,4689.05,3902.05,4372.51,4093.8,3371.88,4446.28,2688.94
FBtr0345074,1913.92,1980.45,1513.76,1467.07,1956.29,1575.75,1707.35,1014.41
FBtr0305915,323.064,248.23,0.0671711,126.951,273.805,213.807,122.45,197.824
FBtr0305916,528.664,655.264,489.672,660.078,663.311,730.596,446.43,384.886
FBtr0333608,0.133445,547.796,299.264,286.7,543.685,168.798,653.041,109.678
FBtr0333609,1342.11,1621.25,1564.19,1285.99,1321.5,2363.24,2283.08,818.21
FBtr0075345,5287.17,5774.38,4511.95,5270.07,5447.58,5814.12,4772.68,5158.09
FBtr0075346,580.804,687.979,481.176,569.626,615.615,451.608,477.47,451.207
FBtr0333610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0075347,289.218,441.546,429.21,416.549,342.177,314.436,337.151,339.0
FBtr0075348,140.0,109.0,82.0,79.0,74.0,305.022,59.0,307.0
FBtr0299542,13.5249,8.97427,0.898412,6.29107,4.25287,55.8973,1.59687,92.5349
FBtr0345347,4.45365,6.05634,12.3644,23.1792,2.24448,6.32191,4.1903,25.1409
FBtr0100145,1313.7,1629.7,1376.17,1400.91,1522.63,1483.69,1586.98,1313.15
FBtr0075350,1725.26,3426.13,1575.81,3581.1,2409.62,228.066,1239.12,2255.36
FBtr0306151,948.786,1356.81,1144.19,1530.94,1236.21,757.248,921.482,1057.0
FBtr0306152,30.1587,63.9282,39.3205,76.653,94.5251,70.357,52.6892,88.3046
FBtr0075352,1162.55,1448.38,1061.33,1407.48,1494.67,1404.25,1064.75,1610.69
FBtr0075351,6.79868,7.14113,6.16608,0.0,24.7835,0.0,0.0,19.4019
FBtr0075353,116.751,160.944,138.73,152.754,160.472,190.227,147.126,192.523
FBtr0075354,368.084,286.305,190.0,152.0,549.003,558.003,277.212,544.702
FBtr0075357,7.49419,343.741,0.0,243.13,679.76,452.157,10.4731,354.857
FBtr0112790,1915.34,1782.16,1811.7,1745.88,1261.34,1217.56,1239.21,1434.07
FBtr0330130,896.607,807.042,286.093,473.595,888.316,1022.4,1066.07,615.379
FBtr0330131,152.323,105.55,158.604,115.734,174.322,91.2259,99.0786,127.908
FBtr0330132,342.527,547.489,705.166,179.455,396.281,279.605,910.935,306.732
FBtr0330133,414.144,170.247,70.3101,315.309,406.831,351.996,130.992,268.623
FBtr0330134,0.918343,39.6628,0.0,55.1118,122.945,34.8778,0.684734,67.0884
FBtr0330135,2.05294,220.53,0.0,85.43,289.59,111.885,6.71731,167.108
FBtr0330136,3.4775,68.1701,0.0,159.62,301.514,149.386,1.2146,149.728
FBtr0345369,2821.87,3878.03,3687.79,2142.84,1857.09,2062.59,3557.31,2154.01
FBtr0075358,1286.02,1668.53,1452.84,1537.18,1588.07,1848.37,1486.62,1810.45
FBtr0331560,1039.08,1385.76,824.25,1037.84,1260.02,1082.33,1010.63,1264.67
FBtr0075359,804.924,1139.01,895.209,1048.63,847.0,829.043,845.39,847.039
FBtr0075360,2845.61,3400.81,2489.07,3324.27,3023.72,3276.31,2558.26,3929.79
FBtr0075361,792.566,1040.33,795.287,807.741,934.229,863.173,704.158,710.521
FBtr0075363,1441.78,1474.16,1132.32,1128.59,1019.15,1120.4,949.994,1079.06
FBtr0075365,302.0,312.502,268.482,319.957,321.852,287.372,269.627,317.297
FBtr0075366,485.0,32.0,65.0,59.0714,36.0,107.556,20.0,41.0
FBtr0075369,103.0,119.0,163.967,157.149,270.543,218.007,106.0,94.0
FBtr0075370,1095.21,7.67883,28.3349,29.0055,129.868,69.6004,9.42789,18.1093
FBtr0075372,12.0,37.0,6.0,29.0,3.0,4.0,14.0,1.0
FBtr0113448,181.7,267.436,160.711,255.142,171.726,23.2345,80.8583,248.06
FBtr0310460,92.5497,158.037,83.4515,229.615,127.274,25.7655,65.1417,62.2264
FBtr0305307,338.533,462.048,271.0,554.92,345.0,58.0323,191.0,305.318
FBtr0075375,16.0,12.0,8.0,20.0,13.0,1.0,7.0,7.0
FBtr0075376,1941.16,2114.89,1399.04,2141.35,1764.8,921.832,1799.13,406.058
FBtr0075377,8308.24,3306.35,3921.8,1356.26,28188.2,16432.0,4791.59,6000.57
FBtr0110866,210.813,206.015,201.448,137.27,708.404,527.077,235.769,239.714
FBtr0075378,22.0,64.0,139.0,4.0,9.0,6.0,49.0,108.0
FBtr0075379,275.76,497.471,339.508,367.331,342.0,288.791,320.747,279.654
FBtr0075382,96095.4,66011.6,57617.1,63218.7,26172.8,26123.9,91562.9,8105.23
FBtr0075383,4184.62,116.004,145.811,47.0,204.0,1392.59,138.0,52.0
FBtr0075384,105.147,220.32,155.0,946.601,188.0,224.0,167.096,152.0
FBtr0307504,3.0,5.02167,2.0,12.0,3.0,2.0,2.05602,4.0
FBtr0075386,66.4583,165.724,189.701,50.9734,97.4446,75.8017,163.064,73.8656
FBtr0075387,756.398,811.712,355.119,629.393,984.103,647.503,409.568,702.309
FBtr0333596,780.474,857.743,788.002,540.034,575.648,749.455,800.335,501.787
FBtr0075388,220.206,202.297,116.754,111.698,49.8406,46.0622,195.12,39.7515
FBtr0343534,552.011,503.078,435.323,534.325,466.884,333.938,607.236,123.382
FBtr0075389,1526.93,1566.88,1410.2,1541.51,1446.5,1838.82,1029.43,1844.04
FBtr0331174,32.9599,49.6407,58.912,16.0161,48.6643,7.95242,24.9406,23.2103
FBtr0310550,1667.64,1643.46,1267.13,1623.51,1623.86,1668.83,1452.53,1762.36
FBtr0310551,870.904,1139.21,802.798,881.937,1155.34,1162.74,772.922,1111.65
FBtr0310552,16.0991,32.1445,15.7049,8.04285,25.3326,43.4431,24.1034,49.0738
FBtr0310553,15.5753,55.6552,37.2254,32.7373,42.2997,86.3641,40.4222,40.3895
FBtr0075390,592.623,881.021,708.202,778.716,740.272,450.392,530.692,760.226
FBtr0075391,468.021,511.021,359.118,437.714,465.593,352.619,456.469,224.243
FBtr0075392,1.0,0.0,1.0,2.0,1.0,1.0,1.0,4.0
FBtr0075395,528.462,671.819,478.994,494.364,550.953,488.482,517.361,499.526
FBtr0329921,269.227,406.594,308.643,439.819,335.517,100.165,170.639,360.165
FBtr0075398,84.8204,137.23,154.629,318.232,158.958,156.872,254.745,82.7131
FBtr0075399,423.294,828.609,564.855,654.39,613.919,372.065,406.981,330.767
FBtr0345813,33.241,90.895,70.4968,40.3185,40.3309,20.1601,60.6199,50.6132
FBtr0075400,7.0,6.0,3.0,4.0,3.0,3.0,4.0,2.0
FBtr0075408,503.359,862.255,737.33,817.185,789.717,725.24,755.841,742.149
FBtr0075410,1821.57,2141.17,1704.47,2065.38,2286.61,2365.6,1832.05,2346.94
FBtr0075411,96.2101,153.135,104.087,100.098,87.121,68.1003,72.1268,81.1695
FBtr0075417,2390.03,2997.61,2602.2,2959.6,2893.33,2749.95,2776.04,2466.93
FBtr0075418,162.194,437.109,369.118,433.721,324.961,309.408,285.859,219.898
FBtr0075419,83.7171,111.23,63.5234,82.2513,94.3972,63.3206,92.1098,95.2346
FBtr0075420,26.947,54.8769,27.6788,53.5457,42.5505,34.9158,45.8285,77.8297
FBtr0308819,58.9753,97.4527,52.6396,60.4164,65.9222,68.4203,87.211,51.128
FBtr0075421,0.0,0.0,0.0,0.0,3.39877,3.69684,0.0,17.2594
FBtr0075422,46.0,54.2162,39.0356,77.2993,35.9674,29.3032,32.3619,18.7406
