"","G3R3","G1R2","G1R3","G1R4","G3R1","G3R2","G1R1","G3R4"
"FBgn0039758",332.245,330,332.307,215,896.89,813.457,146,395.015
"FBgn0039759",84,67.14695,45,28,67,42,36,28
"FBgn0039760",1215.189,434.0157,216.0001,418.19303,316.9452,89,154.00000351438,422.12
"FBgn0039761",3,0,0,1,0,0,0,0
"FBgn0039764",273.4642,297.9999,242.64767,254.30226,303.35388,263.34255,239.0002,251.8327
"FBgn0039765",225.151,440,276.695,428.545,226.987,198.13,245.022,253.07
"FBgn0039766",197.385,245.013,169.305,242.446,169.698,131.322,124,208.117
"FBgn0039767",1976.427,1983.753,1403.656,1535.563,1677.331,1702.83,1512.143,1844.964
"FBgn0039768",1,0,0,0,0,0,0,1
"FBgn0039769",2,0,0,0,1,1,1,1
"FBgn0039770",77,166.00045,119.0096,156.005,120.00340313,91.0835,125.02075,93
"FBgn0039771",19,3,3,3,69,87,3,2
"FBgn0039773",1174.4,1546.735,1014.357,1525.527,1261.132,648.047,842.014,1326.499
"FBgn0039774",3141.569969,2050.4971,2182.31261,1902.4903,2819.5495,2873.689,2117.8867,1981.381
"FBgn0039776",1898.02,2388.78,1708.09,1954.17,1474.84,2598.14,1993.1,1985.74
"FBgn0039777",242.708,22.7049,9.52417,8.28747,12.9448,32.425,24.8212,63.5227
"FBgn0039778",323.889,5.29508,9.47583,4.71253,14.0552,41.1677,25.4389,45.0448
"FBgn0039779",6.31926,5,4,4.07412,7,5.15642,3,4
"FBgn0039780",10,33,6,8,34,16,19,15
"FBgn0039782",3,4.999998,0,3.000004,4.000002,3.999997,1.0000002,5.999997
"FBgn0039783",0,0,0,4,0,1,0,0
"FBgn0039784",18.1284,202,110.291,86.0068,328.447,123.307,37,145.102
"FBgn0039787",234.0002,99,89,66.00001,98,103,100,86.0439
"FBgn0039788",856,1297.3,702.78,1248.16,924.457,358.186,569,1199.6
"FBgn0039789",2919.73,495.105,614,386,1024.03,2333.79,1061.21,2628.37
"FBgn0039790",1510.57558,1772.5537,1299.91021,1674.65674,1737.50894240554,1888.5864,1334.3266,1967.41167
"FBgn0039792",4516.3326,6813.38,3993.7448,7484.682,5074.578,867.6087,2773.898,5044.814
"FBgn0039795",9121.1,27981.1,22947.2,23694.1,49120.1,36056.9,13000.9,39552.5
"FBgn0039796",776.7472,1375.2017,757.9392,1417.4503,875.6608,136.0035,492.9995,878.9998
"FBgn0039797",2377.203,4025.703,2172.537,4103.941,2888.18,466.5802,1473.57,2966.938
"FBgn0039798",11,8,8.000001666,7.9999957325,7.9999960687,22,21,15
"FBgn0039799",479.373,685,404.5059,698.416,522.024,128,233.9997,560.202
"FBgn0039800",792.791,1249.438,955.213,1792.917,923.67,835.213,943.621,902.134
"FBgn0039801",210.2087,608.814,426.7811,776.6635,289.7916,138.3087,254.9423,288.4773
"FBgn0039804",1863.154,1630.15,2517.128,1252.252,1020.005,1954.22,1546.115,1451.938
"FBgn0039805",16077.1,7568.56,23140.1,13246.4,2223.9,21962.4,5342.72,1829.19
"FBgn0039806",185.005,7654.22,17873.7,295.616,65,125,5161.97,12331.1
"FBgn0039807",151,71,121.043,949.218,43,133.021,65,137.017
"FBgn0039808",599.18,607.444,462.448,400.676,546.016,475.524,505.334,541.89
"FBgn0039809",1067.2,1366.37,808.149,1385.13,1111.1,478.101,730.961,1246.4
"FBgn0039810",182.165,350.66,193.807,390.002,220,20,131.412,258.01
"FBgn0039811",15,28,23,27,29,37,19,28.0054
"FBgn0039812",454.271,737.067,358.157,798.448,593,89,297.007,539.626
"FBgn0039816",206.1194,261.9998,201,202.0004,256.005,186.0001,184,184.0002
"FBgn0039817",15,23,4,22,27,10,12,22
"FBgn0039818",19,7,10,7,12,5,12,18
"FBgn0039820",4,14,8,16,8,7,2,3
"FBgn0039821",407.22780854889,329.00600711942,171.0029,227.9999,154.000230632,102.000034,246.000344802,124
"FBgn0039827",1202.06,1112.21,1071.54,963.347,1146.21,1170.13,1124.32,1045.28
"FBgn0039828",604.786,858.706,581.476,641.659,688.599,523.003,543.119,650.072
"FBgn0039829",114.006,142.192,108.296,144.672,125.486,80,95,141
"FBgn0039830",17833.3282,45581.641,30043.811,55783.671,24665.6353,22881.0369,25609.2801,21347.7727
"FBgn0039831",2306.189,2965.8435,2229.7274,2598.7418,2706.65890213931,2432.63,2469.8581,2341.826
"FBgn0039832",43.911,54,42.8192,72.9171,49.1514,31.86,34,110.099
"FBgn0039833",15.089,33.0583,33.1808,23.0829,67.8486,44.3037,23,142.14
"FBgn0039835",239.851,536.132,351.07,494.487,339.695,322.974,340,319.605
"FBgn0039836",104.136,206.735,143.993,161.16,115.604,119.406,111.053,102.816
"FBgn0039838",5,7,15,6,13,7,5,8
"FBgn0039839",2,0,0,3,0,1,0,1
"FBgn0039840",19,15.6868,7.6901,10,4.3775,12,6.68638,4.68415
"FBgn0039844",1519.057,1989.2601,1476.6858,1952.1395,2105.3944,3941.97742,1500.1675,5033.7034
"FBgn0039846",399.3144,785.3191,510.42879877,541.7768,513.1012,445.5785,424.8416,415.5574
"FBgn0039848",1788.42,43.0505,66.3032,66.1621,5948.53,5085.03,52.2844,9812.45
"FBgn0039849",796.0175,931.038,750.5349,830.1212,974.2844,1057.3931,716.9243,1104.8617
"FBgn0039850",159.193,313.159,161,290.008,212,34,83,198.019
"FBgn0039851",3012.209,8088.79,5657.53,4845.6753,17647.553,8497.716,4098.479,6321.941
"FBgn0039852",2861.16,5002.4085,4177.6989,3535.6533,10840.529,8898.4463,3443.9305,8384.819
"FBgn0039854",387.634,691.189,466.013,689.181,556.347,529.738,429.045,420
"FBgn0039855",358.035,548.444,363.502,673.01,362.391,72.1177,232,390.163
"FBgn0039856",636.582,1161.581,658.794,1042.53,469.5083,397.3297,409.112,619.651
"FBgn0039857",22446.3555,27432.92284,20700,24731.1048,24564.6308,28266.66326,22456.95447,25833.78077
"FBgn0039858",19288.478,22804.41977,18784.151,20058.63123498,22533.407,25005.9603,19578.569,20302.333
"FBgn0039859",91.09232,148.32641,99.69663,130.2059,128.10931,76.17164,102.23,115.87076
"FBgn0039860",256.014,354,250,248.182,306.617,244,272.793,236.852
"FBgn0039861",669.5514,801.006,623.6896,617.1109,658.4377,560.535,574.5369,546.4077
"FBgn0039862",658.234,766.252,622.354,515.722,715.51,555.314,621.104,451.304
"FBgn0039863",3908.83,4237.802,3134.9244,3553.706,3956.816,3613.567,3470.56,3406.176
"FBgn0039864",420,1460.01,1069.8,327.287,696.994,920.11,891.521,1033.38
"FBgn0039867",289.047,388.064,204.343,245.826,271.113,208,216.015,238.619
"FBgn0039868",204.003,278.394,206.657,191.713,224.007,188.195,194.002,199.611
"FBgn0039869",1264.26,1398.9,1088.49,1449.03,1273.41,1186.4,1254.18,1314.53
"FBgn0039870",174,160,119.161,127.09,153.382,167,157,148.01
"FBgn0039872",15,27,20,25.0106,13,13.00531,18.00641,20.0082298
"FBgn0039873",26,26,26,33,16,30.004,15,24
"FBgn0039874",844.24,916.095,785.884,736.471,839.108,766.784,676.005,791.529
"FBgn0039875",2771.16,3839.6469,2584.47122007,3493.856,3356.8516,2388.53000004743,2370.34000050803,3606.005
"FBgn0039876",310,411.31,269.186,337.186,381.014,325.47,277.65,294.46
"FBgn0039877",957.7536,1484.4330326106,1043.83900121099,1134.77759,1329.597186,1087.5155,952.1323,1118.01802976
"FBgn0039879",24,29.2614,17,36.2431,19,7.03459,16.0714,21
"FBgn0039881",811.251,1272.7465,729.1435,1328.0993,872.8007,199.9997,489.8569,899.7152
"FBgn0039882",480,731.978,590.572,645.189,700.41,626,450,802.905
"FBgn0039883",2073.25816,3461.2484,2421.878,3047.18615,2781.21258,2110.67565,2611.2498,1757.08749
"FBgn0039886",705.499,959.57,699.5187,1127.3845,931.8784,1171.3676,797.267,1298.5012
"FBgn0039887",418.483,671.557,368.0074,683.011,491.544,113,276.9999,605.027
"FBgn0039889",1179.473,1491.782,1167.742,1313.922,1391.689,1378.429,1214.474,1273.95
"FBgn0039890",3638.606,4001.19,3479.221,3462.372,3973.773,3842.856,3568.774,3485.136
"FBgn0039896",963.87,1458.34,1325.35,1094.84,551.117,835.505,1351.69,889.54
"FBgn0039897",2160.5787,5321.1194,3981.4005,8097.978,3543.7954,3310.47385908278,2788.8016,2895.00355399
"FBgn0039900",584.2493,932.1592,785.9177,1065.4599,744.9184,593.9287,815.6297,665.69184
"FBgn0039902",2303.5589,2933.8276,2368.6228,2446.4674,2865.1063,2749.5598,2437.4866,2801.1607
"FBgn0039904",4715.297,5188.34000228017,4201.078,4227.89300069023,4708.70520571119,4307.066,4081.8716,3917.7448
"FBgn0039907",3903.34,4576.15,3507.34,4196.52,4256.15,3654.79,3483.96,3792.84
"FBgn0039908",2581.4626,3703.462,2939.005,3571.105,3193.3346394,2464.0059395,2838.31736,2319.0082268
"FBgn0039909",2774.17595663,5846.6086379,4054.2950283,6723.41195707,3474.920700894,3139.21363538,3386.2000957181,3022.98
"FBgn0039911",320.9999,484.2265,380.0688,692,401.9997,305.1728,376.0061,299.0016
"FBgn0039914",1653.02,2378.02,1717.32,1904.85,2068.55,1806.09,1815.31,1641.16
"FBgn0039915",347.17,1310.87,1070.06,4482.27,307,331,773.735,456.377
"FBgn0039916",264.0015,381.1186,334.1775,542.0098,331.249,250.9999,276.0464,245.0037
"FBgn0039920",4103.63500017011,4934.934150544,3610.019122363,3090.499,4998.005,3259.9896,3939.027,3073.198
"FBgn0039923",3930.35,4479.23,3622.634,3783.024,4383.899,4147.619,3624.593,4191.056
"FBgn0039924",2512.891,2686.289,2137.701,2406.42,2630.31,2598.108,2215.188,2638.847
"FBgn0039925",221.422,256.403,197.587,239.095,245.302,222.466,200.785,183.488
"FBgn0039927",1648.597,1999.411,1532.253,2089.451,1846.177,1722.472,1586.291,1695.188
"FBgn0039928",8286.162,10286.713,8163.395,9220.754,10205.992,9440.04,8548.318,9035.745
"FBgn0039929",1170.3532,1585.575,1250.6179,1489.8395,1533.4576,1138.9189,1133.7438,1136.483
"FBgn0039930",197,291.019,214.014,281.06,235,220.534,233.877,245.996
"FBgn0039932",89.59988,87.47257,84.57452,82.06819,131.07892,128.68483,140.673,112.71474
"FBgn0039936",5948.174169302,6886.970215108,5701.31300036719,6060.73360035836,6795.3020266007,6829.92000746,5982.35900195421,5761.40849487
"FBgn0039937",48,53,39.0195,49,63,43,38,45
"FBgn0039938",1505.727,2277.532,1498.089,1504.8286,2042.433,1243.973,1777.638,1246.4462
"FBgn0039941",349.3047,350.0069,459.1864,463.98084,544.1332,826.1899,499.7604,364.3649
"FBgn0039942",419.048,395.169,409.487,362.01,447.093,435.972,438.57,348.82
"FBgn0039943",749.619,977.363,759.761,749.022,914.792,981.956,805.857,779.121
"FBgn0039944",1659.0243,1927.2391,1546.8513,1906.0895,1889.168,1842.7836,1557.27062,1862.62300001793
"FBgn0039945",191.5373,189.8706,212.4145,250.4354,250.825,184.5056,148.53662,293.568
"FBgn0039946",226,276.28,178.044,212.325,219,194.009,170.259,194.041
"FBgn0039955",2508.067,2724.552,2219.275,2381.506,2679.822,2364.217,2278.828,2579.371
"FBgn0039958",1783.0003,1942.957003,1607.210930417,1637.229380192,1878.3496,1576.47180018254,1736.5533,1576.5235009
"FBgn0039959",4894.1216,5406.6609,4477.5879,4645.0922,5436.1113,4733.5897,4608.6303,4809.5797
"FBgn0039965",902.9995,1135.6116,976.0239,1111.7828,1047.6462,873.9311,917.8702,912.1531
"FBgn0039966",307.32349,349.55437,252.46964,308.3409,331.33856,328.01979,256.99978,325.57898
"FBgn0039969",1449.0636,1452.861067,1340.6746,1697.958154,1512.8179,1695.09674698,1264.4504,1556.0342
"FBgn0039970",1943.468,2207.886,1868.711,1998.859,1891.214,2033.812,1966.865,1650.832
"FBgn0039972",130.3251,225.5418,156.937626653,139.8611,201.1376,178.0918,144.76842,228.7814
"FBgn0039977",1234.3687,1258.1689,1250.2331,1273.8299,1411.2381,1500.049,1142.7064,1398.9778
"FBgn0039993",572.6528,713.9255,772.9449,666.5242,604.4843,581.805,378.0324,615.2392
"FBgn0039994",2415.9897,2738.756,2303.4771,2385.0772,2940.1598,3070.5577,2596.1807,3086.307
"FBgn0040001",5587.39,4614.68,3985.98,3051.92,4377.42,3281.97,3466.01,5783.2
"FBgn0040005",1732.5217,1864.984,1534.4927,1585.0316,1867.474,1759.7745,1528.7819,1801.2983
"FBgn0040007",10714.039,9782.59,9408.304,10299.62,10048.742,12762.905,9907.429,10775.726
"FBgn0040009",501.0235,513.0046,407.00398,443.24053,591.99977,500.0649,537.99979,465.02362
"FBgn0040010",2131.264,2297.829,2031.739,2101.071,2281.077,2190.935,2047.928,1961.224
"FBgn0040011",4836.69,6186.04,4032.18,5956.65,5043.97,2709.35,3340.38,5421.57
"FBgn0040020",474.001,507.437,413.761,442.079,519.435,539.643,450.305,482.002
"FBgn0040022",2306.179360815,2448.445966287,1919.2799251599,1937.55865543788,2411.3511393,2202.12034993,2155.4329393,2188.70788211671
