"","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"11036","FBgn0262360",1.897421213,2.15529211,5.296205717,0.00075681,0.000880933,-0.914057794
"11037","FBgn0266432",2.013191385,2.218611636,5.292820447,0.000759885,0.000884433,-0.93594065
"11038","FBgn0025378",2.517132255,2.904713922,5.290553901,0.000761952,0.000886758,-1.024289785
"11039","FBgn0267339",1.220389876,0.680266714,5.285107336,0.000766944,0.000892487,-0.834036449
"11040","FBgn0085206",2.447580109,2.781559321,5.282268935,0.00076956,0.00089545,-1.02237287
"11041","FBgn0263034",2.642031972,3.03038819,5.276572252,0.000774839,0.000901429,-1.065364675
"11042","FBgn0260430",-1.37022195,-1.76646517,-5.276579153,0.000774833,0.000901429,-0.590078663
"11043","FBgn0260643",2.220021774,2.394498962,5.27616201,0.000775221,0.000901792,-0.990708264
"11044","FBgn0052373",1.419046346,1.590790877,5.275164493,0.00077615,0.000902791,-0.872700793
"11045","FBgn0032663",-1.561821017,-1.719366714,-5.272706091,0.000778445,0.000905378,-0.57940169
"11046","FBgn0032104",1.628129668,1.690352774,5.270278149,0.000780718,0.00090794,-0.90694945
"11047","FBgn0011834",-2.312134586,-2.265120413,-5.269900797,0.000781072,0.00090827,-0.52636252
"11048","FBgn0029799",1.701680013,1.859436321,5.267319209,0.000783499,0.000911009,-0.923757475
"11049","FBgn0038386",2.375683815,2.753901476,5.266793626,0.000783994,0.000911502,-1.030218726
"11050","FBgn0085202",1.948849268,2.281311298,5.264999877,0.000785686,0.000913387,-0.96243853
"11051","FBgn0085371",-1.482800938,-1.4298276,-5.263609035,0.000787001,0.000914833,-0.598041109
"11052","FBgn0034197",-1.379936835,-1.226258699,-5.261464474,0.000789033,0.000917112,-0.609523894
"11053","FBgn0037668",1.926644116,2.172380082,5.257593935,0.000792715,0.000921308,-0.968100799
"11054","FBgn0264297",2.199212457,2.466682427,5.2562185,0.000794028,0.000922751,-1.013604862
"11055","FBgn0001148",1.238456639,1.15228222,5.254991723,0.000795201,0.000924031,-0.875314744
"11056","FBgn0038626",1.88559288,1.937317432,5.253162009,0.000796955,0.000925984,-0.968255798
"11057","FBgn0036426",2.082157448,2.375210293,5.244058683,0.000805741,0.000936108,-1.010537515
"11058","FBgn0040365",2.006179219,2.231269666,5.241058517,0.000808659,0.000939414,-1.002174169
"11059","FBgn0033729",-2.560069738,-2.317529884,-5.239636002,0.000810047,0.000940941,-0.546346962
"11060","FBgn0033931",-2.434117808,-2.436360807,-5.237780849,0.000811861,0.000942963,-0.558106054
"11061","FBgn0036022",3.661489218,0.682621222,5.233681701,0.000815885,0.000947551,-1.31439442
"11062","FBgn0262098",2.617118697,3.043844727,5.232411486,0.000817137,0.000948919,-1.118197819
"11063","FBgn0030688",1.836260634,1.66533813,5.230910327,0.000818618,0.000950553,-0.991848105
"11064","FBgn0033278",2.178214794,2.435982127,5.230470123,0.000819053,0.000950972,-1.043518163
"11065","FBgn0085352",-1.999885791,-1.493779781,-5.222326853,0.000827147,0.000960283,-0.610345358
"11066","FBgn0036829",2.545774159,2.636419113,5.217106771,0.000832381,0.000966272,-1.124448911
"11067","FBgn0034839",1.929926423,2.147077419,5.20547192,0.000844178,0.000979878,-1.037256733
"11068","FBgn0038415",-1.959851649,-2.393208847,-5.204585601,0.000845084,0.000980842,-0.636762281
"11069","FBgn0000137",1.051849231,0.509713436,5.202732905,0.000846982,0.000982955,-0.919360089
"11070","FBgn0033598",2.658170496,0.611315671,5.199048041,0.00085077,0.000987262,-1.172035841
"11071","FBgn0262112",1.462558175,0.66884949,5.197612995,0.00085225,0.000988891,-0.977774517
"11072","FBgn0264260",2.409262436,2.779307763,5.19727535,0.000852599,0.000989206,-1.127915961
"11073","FBgn0030898",2.190914217,2.450073118,5.191566661,0.000858518,0.000995894,-1.096807807
