"","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"394","FBgn0261822",9.021698905,8.849419309,111.9769252,5.9e-14,1.86e-12,21.98547625
"395","FBgn0001215",8.751433959,8.780287534,111.8081817,5.97e-14,1.86e-12,21.96896411
"421","FBgn0024807",8.666729267,8.676819892,111.0002407,6.32e-14,1.93e-12,21.92749416
"422","FBgn0001114",9.732136823,9.659329231,110.6564171,6.48e-14,1.95e-12,21.93341005
"436","FBgn0267348",9.021484775,9.111452026,110.2100154,6.69e-14,1.97e-12,21.90272803
"442","FBgn0038826",10.05226754,10.12930068,109.9066706,6.84e-14,1.98e-12,21.9015365
"445","FBgn0051363",10.12760096,10.05389836,109.5343828,7.02e-14,1.99e-12,21.8846304
"462","FBgn0013674",12.6616025,12.87702945,109.1616132,7.21e-14,2.01e-12,21.88441442
"470","FBgn0003943",10.97994546,11.0360383,108.4908904,7.57e-14,2.06e-12,21.84644918
"473","FBgn0005630",8.885619483,8.822382788,108.413708,7.62e-14,2.07e-12,21.81249374
"485","FBgn0029093",9.9135469,9.897036855,107.8149845,7.96e-14,2.11e-12,21.79778224
"486","FBgn0004449",8.9330413,8.91051248,107.6515711,8.05e-14,2.11e-12,21.77648127
"487","FBgn0040007",8.698428166,8.606178041,107.6481961,8.06e-14,2.11e-12,21.76786603
"518","FBgn0027932",10.70730609,10.59956767,106.2050539,8.96e-14,2.18e-12,21.72779111
"540","FBgn0033313",10.89745092,10.83857094,105.3903227,9.53e-14,2.27e-12,21.68849801
"544","FBgn0004401",8.763813295,8.710533093,105.1121528,9.73e-14,2.3e-12,21.64259574
"557","FBgn0026059",8.566232955,8.615185995,104.7731199,9.98e-14,2.3e-12,21.61599047
"559","FBgn0266599",11.29772142,11.2404497,104.7242712,1e-13,2.3e-12,21.65850306
"567","FBgn0001149",8.788286717,8.850008076,104.3763693,1.03e-13,2.32e-12,21.60531269
"585","FBgn0013676",12.07525268,12.29425554,103.4116081,1.11e-13,2.43e-12,21.59266053
"594","FBgn0000261",10.06097213,10.24999346,102.897926,1.15e-13,2.48e-12,21.54515655
"605","FBgn0263396",9.119828224,9.098425081,102.5245506,1.18e-13,2.5e-12,21.5150052
"657","FBgn0261710",8.817351949,8.785647538,100.6299336,1.37e-13,2.68e-12,21.4038597
"660","FBgn0016977",9.027150277,9.009288706,100.5701748,1.38e-13,2.68e-12,21.40573131
"668","FBgn0034897",9.231124213,9.190930307,100.4046913,1.4e-13,2.69e-12,21.3996694
"672","FBgn0262614",8.975862885,9.052367241,100.1815835,1.42e-13,2.71e-12,21.38295101
"683","FBgn0013576",8.522672899,8.501631458,99.83863571,1.46e-13,2.75e-12,21.34720539
"686","FBgn0045823",9.628257983,9.562174392,99.60045328,1.49e-13,2.77e-12,21.35799447
"696","FBgn0087002",12.20394165,11.97943054,99.21070023,1.54e-13,2.8e-12,21.35819584
"718","FBgn0013675",10.4060681,10.61490473,98.80342962,1.59e-13,2.83e-12,21.32058962
"742","FBgn0000042",12.13707089,11.95597996,97.95633551,1.7e-13,2.94e-12,21.28499998
"743","FBgn0265434",9.858280358,9.6533965,97.94348738,1.7e-13,2.94e-12,21.26421804
"752","FBgn0013770",9.970467409,9.834770565,97.70675608,1.73e-13,2.96e-12,21.25137212
"775","FBgn0261618",8.917088914,8.662084402,97.09501782,1.82e-13,3.02e-12,21.20319131
"800","FBgn0027066",8.618119092,8.558952409,96.20256409,1.96e-13,3.14e-12,21.14034006
"802","FBgn0014163",11.16879049,11.07210406,96.14348616,1.97e-13,3.15e-12,21.17169567
"805","FBgn0013733",9.203636739,9.201420576,96.06002883,1.98e-13,3.17e-12,21.14601649
"812","FBgn0082582",10.21580905,9.847915684,95.74589925,2.04e-13,3.2e-12,21.13639042
"824","FBgn0025726",8.621147114,8.63160046,95.54287468,2.07e-13,3.23e-12,21.100607
"831","FBgn0004363",9.72327267,9.97087341,95.27316952,2.12e-13,3.26e-12,21.10261146
"832","FBgn0001316",8.990568701,8.955489892,95.28356653,2.12e-13,3.26e-12,21.0954634
"838","FBgn0003261",9.509339103,9.468840884,94.87909649,2.19e-13,3.32e-12,21.0766221
"856","FBgn0034072",8.84163637,8.811704517,94.58340818,2.24e-13,3.32e-12,21.04886484
"869","FBgn0260745",10.22429027,10.03069487,94.46235194,2.27e-13,3.35e-12,21.05720206
"874","FBgn0000454",9.729834411,9.572931539,94.22397583,2.31e-13,3.39e-12,21.03755161
"876","FBgn0011260",8.653253576,8.656630885,94.17395435,2.32e-13,3.4e-12,21.01745118
